,index,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_name,away_team_name,home_team_overall,away_team_overall,home_team_potential,away_team_potential,home_build_up,away_build_up,home_def_press,away_def_press,home_goal_diff,away_goal_diff,home_matchs_won,away_matchs_won
103,103,15567,2015/2016,24,2016-02-21,8593,10218,AJA,EXC,0.769710087891906,0.6752372206917662,0.8196904105995017,0.697551270278543,0.6464646464646465,0.29292929292929293,0.6464646464646465,0.29292929292929293,299,-97,139,21
104,104,2634,2010/2011,22,2011-01-05,10252,8472,AVL,SUN,0.7883379247015612,0.7603305785123967,0.8213957759412306,0.7984389348025711,0.35353535353535354,0.45454545454545453,0.35353535353535354,0.45454545454545453,-102,-88,68,57
105,105,1050,2012/2013,15,2012-11-10,9989,9993,LIE,BAC,0.633149678604224,0.654729109274564,0.6744719926538109,0.6946740128558311,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,-100,-48,16,26
106,106,25870,2015/2016,22,2016-02-27,10179,10199,SIO,LUZ,0.6929905111723293,0.6573308846036118,0.7239057239057239,0.6711049892868074,0.45454545454545453,0.48484848484848486,0.45454545454545453,0.48484848484848486,-1,5,88,77
107,107,1615,2015/2016,23,2016-01-24,8475,8342,WAA,CLB,0.671028466483012,0.7319460842188115,0.7162534435261708,0.782516725698544,0.2727272727272727,0.5151515151515151,0.2727272727272727,0.5151515151515151,-41,126,17,89
108,108,9030,2011/2012,9,2011-10-16,8722,9904,FCK,HAN,0.7433425160697887,0.7465564738292012,0.7819100091827366,0.7851239669421488,0.40404040404040403,0.3939393939393939,0.40404040404040403,0.3939393939393939,-68,-73,47,67
109,109,20203,2010/2011,17,2011-03-01,8429,10251,HAM,HIB,0.6271808999081727,0.6294765840220384,0.6579430670339761,0.6900826446280992,0.46464646464646464,0.47474747474747475,0.46464646464646464,0.47474747474747475,-72,-54,46,53
110,110,24272,2015/2016,18,2016-01-03,8603,8372,BET,EIB,0.7532904805632078,0.7316901800372875,0.7816039179675545,0.7619306007735759,0.5858585858585859,0.37373737373737376,0.5858585858585859,0.37373737373737376,-61,-34,45,12
111,111,10910,2009/2010,34,2010-04-16,8636,9885,INT,JUV,0.852157943067034,0.8117539026629935,0.8824609733700641,0.8755739210284665,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.5050505050505051,126,232,122,148
112,112,23900,2014/2015,19,2015-01-18,9783,8634,COR,BAR,0.7364285546103727,0.8700467882286064,0.7629705311523495,0.8828151646333464,0.45454545454545453,0.6161616161616161,0.45454545454545453,0.6161616161616161,-95,463,43,175
113,113,12970,2015/2016,16,2015-12-13,9875,8686,NAP,ROM,0.7964176395994578,0.8003629367265731,0.8249191044645591,0.8381171017534652,0.47474747474747475,0.36363636363636365,0.47474747474747475,0.36363636363636365,156,119,124,120
114,114,22943,2011/2012,35,2012-04-21,9869,8370,SPG,RAY,0.7194674012855832,0.7098255280073461,0.7529843893480258,0.7364554637281909,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.6363636363636364,-80,-83,44,53
115,115,6190,2011/2012,35,2012-05-02,9827,9851,BOR,REN,0.7676767676767677,0.743801652892562,0.7947658402203857,0.7887970615243343,0.4444444444444444,0.46464646464646464,0.4444444444444444,0.46464646464646464,43,-10,98,82
116,116,19873,2008/2009,36,2009-05-13,10251,8548,HIB,RAN,0.7024793388429752,0.7410468319559228,0.7667584940312213,0.7943067033976124,,,,,-54,175,53,89
117,117,137,2008/2009,23,2009-02-22,8635,9985,AND,STL,0.8273645546372819,0.8021120293847567,0.8797061524334251,0.8535353535353536,,,,,179,76,104,85
118,118,19139,2014/2015,15,2015-01-03,10212,10264,MAR,BRA,0.6984863060620635,0.7551204687568324,0.7268012010436253,0.788515384727506,0.3838383838383838,0.25252525252525254,0.3838383838383838,0.25252525252525254,0,133,73,108
